N,V,N_dv_0,V_dv_0,N_dn_0,V_dn_0,Ndt,Vdt,N_y_dt,V_x_dt
-0.0430535,1.02675,0.085,0.53,,,0.62,0.115,-0.04,0.5
-0.0430207,1.02664,0.09,0.53,,,0.59,0.105,-0.03,0.5
-0.0429879,1.02653,0.075,0.54,,,0.56,0.095,-0.02,0.5
-0.0429551,1.02642,0.08,0.54,,,0.53,0.085,-0.01,0.5
-0.0429223,1.02631,0.085,0.54,,,0.5,0.075,3.46945e-18,0.5
-0.0428895,1.0262,0.09,0.54,,,0.47,0.065,0.01,0.5
-0.0428566,1.02609,0.08,0.55,,,0.44,0.055,0.02,0.5
-0.0428238,1.02597,0.085,0.55,,,0.41,0.045,0.03,0.5
-0.0427909,1.02586,0.09,0.55,,,0.38,0.035,0.04,0.5
-0.042758,1.02575,0.095,0.55,,,0.35,0.025,0.05,0.5
-0.0427252,1.02564,0.08,0.56,,,0.32,0.015,0.06,0.5
-0.0426923,1.02553,0.085,0.56,,,0.29,0.005,0.07,0.5
-0.0426594,1.02542,0.09,0.56,,,0.26,-0.005,0.08,0.5
-0.0426265,1.0253,0.095,0.56,,,0.23,-0.015,0.09,0.5
-0.0425936,1.02519,0.085,0.57,,,0.2,-0.025,0.1,0.5
-0.0425607,1.02508,0.09,0.57,,,0.17,-0.035,0.11,0.5
-0.0425278,1.02497,0.095,0.57,,,0.14,-0.045,0.12,0.5
-0.0424949,1.02486,0.1,0.57,,,0.11,-0.055,0.13,0.5
-0.042462,1.02474,0.085,0.58,,,0.08,-0.065,0.14,0.5
-0.042429,1.02463,0.09,0.58,,,0.05,-0.075,0.15,0.5
-0.0423961,1.02452,0.095,0.58,,,0.7,0.136625,-0.05,0.55
-0.0423632,1.02441,0.1,0.58,,,0.67,0.126625,-0.04,0.55
-0.0423302,1.02429,0.085,0.59,,,0.64,0.116625,-0.03,0.55
-0.0422973,1.02418,0.09,0.59,,,0.61,0.106625,-0.02,0.55
-0.0422643,1.02407,0.095,0.59,,,0.58,0.096625,-0.01,0.55
-0.0422313,1.02396,0.1,0.59,,,0.55,0.086625,3.46945e-18,0.55
-0.0421984,1.02384,0.09,0.6,,,0.52,0.076625,0.01,0.55
-0.0421654,1.02373,0.095,0.6,,,0.49,0.066625,0.02,0.55
-0.0421324,1.02362,0.1,0.6,,,0.46,0.056625,0.03,0.55
-0.0420994,1.02351,0.105,0.6,,,0.43,0.046625,0.04,0.55
-0.0420664,1.02339,0.09,0.61,,,0.4,0.036625,0.05,0.55
-0.0420334,1.02328,0.095,0.61,,,0.37,0.026625,0.06,0.55
-0.0420004,1.02317,0.1,0.61,,,0.34,0.016625,0.07,0.55
-0.0419674,1.02305,0.105,0.61,,,0.31,0.006625,0.08,0.55
-0.0419344,1.02294,0.09,0.62,,,0.28,-0.003375,0.09,0.55
-0.0419014,1.02283,0.095,0.62,,,0.25,-0.013375,0.1,0.55
-0.0418684,1.02272,0.1,0.62,,,0.22,-0.023375,0.11,0.55
-0.0418354,1.0226,0.105,0.62,,,0.19,-0.033375,0.12,0.55
-0.0418023,1.02249,0.095,0.63,,,0.16,-0.043375,0.13,0.55
-0.0417693,1.02238,0.1,0.63,,,0.13,-0.053375,0.14,0.55
-0.0417362,1.02226,0.105,0.63,,,0.1,-0.063375,0.15,0.55
-0.0417032,1.02215,0.11,0.63,,,0.75,0.146,-0.05,0.6
-0.0416702,1.02204,0.095,0.64,,,0.72,0.136,-0.04,0.6
